const,TOT_POP,White-alone pop,Black-alone pop,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,POVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,county_pop2018_18 and older,Urban_rural_code,Age_0_19,Age_20_39,Age_40_59,Age_60+,Other_races,Indice_Profesionales_Disponibles,Indice_Capacidad_Medica,y
1.0,26625,25313,337,167,303,11.3,10.0,1.3,1.5,3.5,5.0,2546,6396,5727,3406,4070,23.3,21.3,50374,11696,760,6.1,50374,88.9,11.77305929,10.07635369,0.383556683,19.75050558,16.04279098,54.0788287,0,20545,6,6684,5751,6662,7528,975,122.78333333333335,112.105094923,26123
1.0,51266,49662,593,-557,1302,9.7,13.1,-3.4,0.0,-7.4,-7.4,3913,18496,9051,6742,7537,20.9,18.8,45761,21317,1104,4.9,45761,75.2,28.03264746,22.69271433,0.796586726,41.53459233,28.83724008,107.1469191,8,41304,5,11023,10478,13765,16000,1011,133.11666666666667,237.04070002600002,47758
1.0,37779,35248,1435,169,5022,10.7,9.2,1.5,0.6,2.4,3.0,2678,10860,7263,3984,3978,14.8,13.3,54718,16245,637,3.8,54718,98.2,19.49391292,4.770447847,0.745206054,14.85331158,18.75999787,49.14972658,6,30379,2,9033,10565,9558,8623,1096,101.68333333333334,113.772602851,34104
1.0,91984,69216,1175,505,1216,10.6,9.1,1.4,0.5,3.7,4.2,4804,19984,21265,14803,8855,12.5,10.8,61849,43309,1483,3.3,61849,119.1,26.38392586,30.04641601,2.915995343,30.76958286,52.7211958,108.7549623,6,70506,3,23809,22952,24218,21005,21593,91.69999999999999,257.592078173,80023
1.0,134487,109628,15004,129,4326,12.0,10.3,1.7,2.3,-3.0,-0.7,8123,33106,30526,19318,22602,27.6,25.2,48413,60219,2646,4.2,48413,85.5,59.46754649,50.89722362,1.93740423,99.76286363,81.03462274,273.1605422,32,103686,4,34364,33274,33827,33022,9855,122.78333333333335,598.26020291,123801
1.0,883305,467444,49184,4139,24235,10.2,7.5,2.6,7.2,-5.1,2.1,79408,84630,131509,394004,87596,10.9,11.1,110601,562022,13545,2.4,110601,147.0,344.1931335,176.7858465,8.016435378,499.3636333,339.3698743,1312.350762,337,764613,1,132667,334819,228216,187603,366677,120.01666666666671,3017.079684978,460112
1.0,20299,14106,5724,-237,89,10.0,11.4,-1.3,0.1,-10.4,-10.3,2659,5932,4124,1470,4128,33.6,34.1,48708,8778,404,4.4,48708,83.1,9.291308264,6.419975617,0.27980056,9.605842687,6.582066976,24.67647977,0,15759,4,4967,4726,5316,5290,469,99.28333333333335,56.855473874,18599
1.0,2801,2633,21,44,96,15.5,8.6,6.8,7.2,1.8,9.0,238,607,592,372,276,14.0,13.1,53107,1512,45,2.9,53107,93.1,1.501723464,1.282655982,0.180968789,1.076288064,1.717616055,3.04154562,0,2106,6,763,627,618,793,147,109.14999999999999,8.800797974,2063
1.0,628195,555198,27543,1167,8038,9.3,9.7,-0.3,1.2,1.1,2.3,27363,128245,109517,180201,35350,6.6,6.0,88538,328286,12783,3.7,88538,145.4,343.5019111,278.0683041,9.761085292,508.9498542,353.3610977,1312.939548,90,499979,2,142037,143716,177937,164505,45454,133.11666666666667,2896.581800392,475980
1.0,4341,3927,112,-68,573,10.3,11.0,-0.7,0.0,-14.9,-14.9,677,1412,881,391,915,29.4,26.9,29515,1534,90,5.5,29515,62.3,2.117229511,1.102119472,0.084937779,2.028148426,2.351326316,5.995364193,0,3436,6,997,1219,990,1135,302,107.80000000000001,13.679125697,3969
1.0,284081,227365,38708,-659,4743,12.5,9.8,2.7,1.5,-6.6,-5.1,23963,62181,64375,43910,45006,27.2,25.3,53795,133101,8095,5.7,53795,82.7,110.6573385,55.56278212,4.169438305,215.1831502,134.9827781,476.7875332,87,217591,3,73075,69952,72455,68599,18008,120.75,1084.3430204249998,233297
1.0,8758,8464,135,-20,90,13.1,9.2,3.9,-0.2,-5.8,-6.0,875,2480,1809,636,1038,16.3,14.8,56769,3919,170,4.2,56769,113.1,5.750595403,1.932545013,0.205798404,3.87096998,3.72397112,12.65366187,0,6520,4,2420,1959,2323,2056,159,101.93333333333332,28.13754179,8391
1.0,1952,1854,8,15,2,11.3,2.6,8.7,0.0,-1.5,-1.5,135,415,516,245,198,12.9,12.0,68243,837,36,4.1,68243,104.6,1.173649512,0.582972515,0.100158273,0.901424461,1.507510423,2.319049254,0,1461,4,529,363,459,601,90,106.91666666666669,6.5847644380000006,1716
1.0,180454,159858,13771,-2856,3338,10.1,13.7,-3.6,0.1,-12.3,-12.2,15894,50266,34460,33388,30248,26.0,22.7,41926,78000,4263,5.2,41926,95.2,94.1326037,66.75220729,5.595993426,97.53017113,124.0112115,280.0994566,156,144442,4,39810,42919,46700,51025,6825,117.36666666666667,824.1216436459999,188600
1.0,11964,11710,103,-72,95,11.6,9.4,2.2,0.2,-8.3,-8.2,645,3627,2650,1412,1019,11.9,11.1,64190,6234,173,2.7,64190,106.9,7.285726099,3.23346741,0.447302643,4.844515065,8.191703486,15.49259239,0,9149,6,3055,2493,2985,3431,151,97.89999999999999,39.495307093,9807
1.0,826,769,7,6,89,12.2,2.4,9.7,0.0,-3.6,-3.6,30,229,165,148,150,32.6,31.4,38782,352,17,4.6,38782,70.2,0.391887452,0.304023797,0.04354305,0.267478737,0.456424473,0.895742748,0,651,4,197,151,189,289,50,113.66666666666664,2.3591002569999997,692
1.0,19102,18188,542,114,1514,10.4,9.5,1.0,0.0,4.9,4.9,1434,6388,3732,2028,2167,16.4,14.5,52332,8979,344,3.7,52332,93.9,9.856606172,2.412056825,0.376794676,7.510202965,9.485520507,24.85132156,4,15089,6,4380,4861,4923,4938,372,101.68333333333334,58.492502705,17537
1.0,678701,571760,23386,15,11913,10.8,8.7,2.1,1.2,-3.3,-2.0,51916,107599,146410,157155,109959,22.2,21.5,51372,314530,14850,4.5,51372,108.4,331.0218352,172.3127361,13.27974094,317.094302,367.6220968,937.3553727,138,531331,3,164335,192820,167341,154205,83555,107.80000000000001,2276.68608374,486825
1.0,580233,532081,8173,4416,8757,10.4,7.9,2.5,0.8,4.3,5.1,22840,84351,121561,180236,39799,8.0,7.7,85550,324124,10118,3.0,85550,118.9,294.9268123,228.9121062,9.066834645,254.9919901,277.4043903,742.56357,94,465718,2,127475,160851,156193,135714,39979,124.56666666666666,1901.8657035449999,335885
1.0,40571,26715,12422,133,1554,13.6,10.1,3.4,0.1,-0.1,-0.1,4705,8886,7942,4257,7636,30.4,30.0,45680,18561,776,4.0,45680,77.9,18.57025802,12.83141193,0.559228954,19.1989085,13.15537905,49.32013698,20,30551,5,11584,10921,9631,8435,1434,99.28333333333335,133.635323434,36902
1.0,26887,18841,7134,-9,326,13.6,12.3,1.3,-0.1,-1.5,-1.6,3362,6784,4696,2790,6615,40.6,39.8,37148,11251,694,5.8,37148,63.4,12.30678385,8.50356591,0.370609275,12.72339979,8.718263697,32.6851821,8,19774,5,7783,6626,6461,6017,912,99.28333333333335,83.30780462199999,24796
